date,time,address,lat,long,nb_of_vehicles,vehicle_type,age,weather,surface,injury,meansev
04/04/10,19:15:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,,
05/04/10,08:20:00,"110 GLEN STREET,Somerville,Massachusetts,USA",42.3839028,-71.0866096407684,,,,,,0,5
05/04/10,13:15:00,"21 DANE STREET,Somerville,Massachusetts,USA",42.38159385,-71.1041395177155,,,,,,,
06/04/10,00:00:00,"DOVER STREET ,Somerville,Massachusetts,USA",42.3954753,-71.1254059,,,,,,0,5
06/04/10,07:18:00,"BEACON STREET ,Somerville,Massachusetts,USA",42.3766261,-71.1043605,,,,,,,
07/04/10,09:26:00,"HIGHLAND AVENUE ,Somerville,Massachusetts,USA",42.3956344,-71.1203257,,,,,,,
07/04/10,15:22:00,"268 POWDER HOUSE BOULEVARD,Somerville,Massachusetts,USA",42.40737515,-71.1310866833955,,,,,,0,5
07/04/10,20:22:00,"WINDSOR ROAD ,Somerville,Massachusetts,USA",42.3928162,-71.1152175,,,,,,,
08/04/10,18:06:00,"SOMERVILLE AVENUE ,Somerville,Massachusetts,USA",42.37726,-71.0892304,,,,,,,
09/04/10,16:11:00,"519 BROADWAY,Somerville,Massachusetts,USA",42.3975720909091,-71.105349,,,,,,0,5
09/04/10,19:47:00,"HOLLAND STREET ,Somerville,Massachusetts,USA",42.3998635,-71.1252421,,,,,,,
11/04/10,15:11:00,"45 MANSFIELD STREET,Somerville,Massachusetts,USA",42.37929435,-71.0903425645067,,,,,,0,5
12/04/10,16:15:00,"ALEWIFE BROOK PARKWAY ,Somerville,Massachusetts,USA",42.402459,-71.134561,,,,,,0,5
12/04/10,23:34:00,"MEACHAM ROAD,Somerville,Massachusetts,USA",42.3959811,-71.1261153,,,,,,0,5
13/04/10,15:36:00,"233 CEDAR STREET,Somerville,Massachusetts,USA",42.39615135,-71.1093950978928,,,,,,0,5
13/04/10,18:02:00,"191 CEDAR STREET,Somerville,Massachusetts,USA",42.3949213,-71.1102817170206,,,,,,0,5
13/04/10,23:11:00,"785 BROADWAY,Somerville,Massachusetts,USA",42.4012247,-71.1157651523433,,,,,,,
13/04/10,14:26:00,"440 SOMERVILLE AVENUE,Somerville,Massachusetts,USA",42.38179715,-71.102330858016,,,,,,,
